date,value
2017-06-09,104.760667
2017-06-12,104.762333
2017-06-13,104.767333
2017-06-14,104.77
2017-06-15,104.773
2017-06-16,104.773333
2017-06-19,104.772333
2017-06-20,104.783667
2017-06-21,104.779333
2017-06-22,104.779
2017-06-23,104.778
2017-06-29,104.783667
2017-06-30,104.790667
2017-07-04,104.784828
2017-07-05,106.38931
2017-07-06,106.651379
2017-07-07,105.723793
2017-07-10,105.594138
2017-07-11,105.266552
2017-07-12,105.265172
2017-07-13,105.252414
2017-07-14,105.259
2017-07-17,105.296207
2017-07-18,105.304138
2017-07-19,105.302414
2017-07-20,105.234828
2017-07-21,105.29931
2017-07-24,105.311379
2017-07-25,105.314483
2017-07-26,105.307931
2017-07-27,105.302069
2017-07-28,105.31931
2017-07-31,105.321035
2017-08-01,105.317241
2017-08-02,105.317241
2017-08-03,105.314483
2017-08-04,105.313448
2017-08-07,105.314483
2017-08-08,105.314828
2017-08-09,105.309655
2017-08-10,105.312069
2017-08-11,105.313448
2017-08-15,105.313103
2017-08-16,105.315862
2017-08-17,105.314828
2017-08-18,105.317931
2017-08-21,105.315172
2017-08-22,105.322069
2017-08-23,105.318276
2017-08-24,105.320345
2017-08-25,105.321379
2017-08-28,105.316552
2017-08-29,105.307931
2017-08-30,105.2
2017-08-31,105.264138
2017-09-05,105.292759
2017-09-06,105.277241
2017-09-07,105.317586
2017-09-08,105.318276
2017-09-11,105.313103
2017-09-12,105.313103
2017-09-13,105.31931
2017-09-14,105.325517
2017-09-15,105.318966
2017-09-18,105.315862
2017-09-19,105.322414
2017-09-20,105.316897
2017-09-21,105.323103
2017-09-22,105.326207
2017-09-25,105.327931
2017-09-26,105.331379
2017-09-27,105.354828
2017-09-28,105.345862
2017-09-29,105.332759
2017-10-02,105.333103
2017-10-03,105.337241
2017-10-04,105.331724
2017-10-05,105.335517
2017-10-06,105.336552
2017-10-09,105.336552
2017-10-10,105.342759
2017-10-11,105.33931
2017-10-12,105.335517
2017-10-13,105.325517
2017-10-16,105.32
2017-10-17,105.324138
2017-10-18,105.328621
2017-10-19,105.331035
2017-10-20,105.332069
2017-10-23,105.344483
2017-10-24,105.352069
2017-10-25,105.356207
2017-10-26,105.365172
2017-10-27,105.358276
2017-10-30,105.34931
2017-10-31,105.344138
2017-11-01,105.295172
2017-11-02,105.321035
2017-11-03,105.324828
2017-11-06,105.339655
2017-11-07,105.348276
2017-11-08,105.351035
2017-11-09,105.351724
2017-11-10,105.35069
2017-11-13,105.344483
2017-11-14,105.351035
2017-11-15,105.358966
2017-11-16,105.36069
2017-11-17,105.358621
2017-11-20,105.360345
2017-11-21,105.364828
2017-11-22,105.378276
2017-11-23,105.386552
2017-11-24,105.408621
2017-11-27,105.416897
2017-11-28,105.412414
2017-11-29,105.398621
2017-11-30,105.395517
2017-12-04,105.416897
2017-12-05,105.410345
2017-12-06,105.425172
2017-12-07,105.44931
2017-12-08,106.301035
2017-12-11,107.612069
2017-12-12,108.634483
2017-12-13,109.939655
2017-12-14,109.803448
2017-12-15,109.797931
2017-12-18,110.002414
2017-12-19,110.105862
2017-12-20,110.178621
2017-12-21,110.182759
2017-12-22,110.165517
2017-12-26,110.163103
2017-12-27,110.173793
2017-12-28,110.186897
2017-12-29,110.30069
2018-01-02,110.340345
2018-01-03,110.364828
2018-01-04,110.373103
2018-01-05,110.381724
2018-01-08,110.392414
2018-01-09,110.401724
2018-01-10,110.405172
2018-01-11,110.402414
2018-01-12,110.401035
2018-01-15,110.405862
2018-01-16,110.42
2018-01-17,110.409655
2018-01-18,110.411035
2018-01-19,110.40931
2018-01-22,110.416897
2018-01-23,110.415172
2018-01-24,110.417931
2018-01-25,110.417586
2018-01-26,110.419655
2018-01-29,110.420345
2018-01-30,110.42
2018-01-31,110.42069
2018-02-01,110.421035
2018-02-02,110.42
2018-02-06,110.438966
2018-02-07,110.422759
2018-02-08,110.422069
2018-02-09,110.425862
2018-02-12,110.437586
2018-02-13,110.424138
2018-02-14,110.425862
2018-02-15,110.424138
2018-02-16,110.439655
2018-02-19,110.425862
2018-02-20,110.432414
2018-02-21,110.432069
2018-02-22,110.45
2018-02-23,110.442414
2018-02-26,110.446552
2018-02-27,110.467241
2018-02-28,110.451035
2018-03-01,110.457241
2018-03-02,110.455172
2018-03-05,110.44931
2018-03-06,110.465517
2018-03-07,110.45
2018-03-08,110.45069
2018-03-09,110.45069
2018-03-12,110.454828
2018-03-13,110.453448
2018-03-14,110.451379
2018-03-15,110.467241
2018-03-16,110.454483
2018-03-19,110.454828
2018-03-20,112.827586
2018-03-21,114.241379
2018-03-22,114.866897
2018-03-26,115.038966
2018-03-27,115.091035
2018-03-28,115.153448
2018-03-29,115.148276
2018-03-30,115.163448
2018-04-02,115.276552
2018-04-03,115.32
2018-04-04,115.374483
2018-04-05,115.376897
2018-04-06,115.400345
2018-04-09,115.404138
